Banjarmasin,hujan rintik-rintik,33.08°C
Banjarmasin,hujan rintik-rintik,33.08°C
Jakarta,kabut asap,33.92°C
Bandung,hujan rintik-rintik,27.49°C
Banjarmasin,hujan rintik-rintik,33.08°C
Banjarmasin,hujan rintik-rintik,33.08°C
Balikpapan,hujan rintik-rintik,28.55°C
Banjarbaru,hujan rintik-rintik,32.99°C
